ALABAMA,,,,,,,
Cleveland NF - Trabuco District,951-736-1811,Corona,CA,http://www.fs.fed.us/r5/cleveland/contact/,YES,YES,YES
Death Valley National Park,760-786-3200,Death Valley,CA,http://www.nps.gov/deva/,YES,YES,YES
Don Edwards San Francisco Bay NWR,510-792-0222 ext 363,Fremont,CA,http://fws.gov/desfbay/,NO,YES,YES
Eagle Lake BLM Field Office,530-257-0456,Susanville,CA,http://www.blm.gov/ca/st/en/fo/eaglelake.html,YES,YES,YES
Eldorado NF - Amador District,209-295-4251,Pioneer,CA,http://www.fs.fed.us/r5/eldorado/contact/address/,YES,YES,YES
Eldorado NF - Georgetown District,530-333-4312,Georgetown,CA,http://www.fs.fed.us/r5/eldorado/contact/address/,YES,YES,YES
Eldorado NF - Main Office,530-622-5061,Placerville,CA,http://www.fs.fed.us/r5/eldorado/contact/address/,YES,YES,YES
Eldorado NF - Pacific District,530-644-2349,Pollock Pines,CA,http://www.fs.fed.us/r5/eldorado/contact/address/,YES,YES,YES
Eldorado NF - Placerville District,530-644-2324,Camino,CA,http://www.fs.fed.us/r5/eldorado/contact/address/,YES,YES,YES
Golden Gate NRA - Alcatraz Visitors Center,415-561-4921,San Francisco (Alcatraz Island),CA,http://www.nps.gov/goga/planyourvisit/hours.htm,YES,YES,YES
Golden Gate NRA - Fort Point Bookstore,415-673-5642,San Francisco,CA,http://www.nps.gov/fopo/index.htm,YES,YES,YES
Golden Gate NRA - Marin Headlands,415-331-1540,Sausalito,CA,http://www.nps.gov/goga/planyourvisit/hours.htm,YES,YES,YES
Golden Gate NRA - Muir Woods Visitors Ctr,415-388-7368,Mill Valley,CA,http://www.nps.gov/goga/planyourvisit/hours.htm,YES,YES,YES
Golden Gate NRA - Presidio Visitors Center,415-561-4323,San Francisco,CA,http://www.nps.gov/goga/planyourvisit/hours.htm,YES,YES,YES
Golden Gate NRA - Warming Hut Visitors Ctr,415-561-3040,San Francisco,CA,http://www.nps.gov/goga/planyourvisit/hours.htm,YES,YES,YES
Hollister BLM Field Office,831-630-5000,Hollister,CA,http://www.blm.gov/ca/st/en/fo/hollister.html,YES,YES,YES
